  Rank       HOTA    fuse_score    match_thresh    new_track_scaling_factor    track_buffer    track_high_scaling_factor    track_low_thresh  tracker_type
    28  0.679959              1      9.37407                    0.592537                 26                  0.0964219           0.257974     bytetrack
    29  0.67781               1      9.82633                    0.67826                  28                  0.477201            0.0724247    bytetrack
    30  0.677578              1      8.149                      0.474272                 36                  0.518708            0.00534212   bytetrack
    31  0.677485              0      9.22706                    0.164766                 21                  0.322229            0.24519      bytetrack
    32  0.677401              1      9.99902                    0.548086                 40                  0.362507            0.228362     bytetrack
    33  0.677134              1      6.4956                     0.59301                  36                  0.310017            0.147294     bytetrack
    34  0.676697              0      2.76601                    0.627171                  4                  0.130584            0.23802      bytetrack
    35  0.676049              1      7.5407                     0.624431                 60                  0.755526            0.000120163  bytetrack
    36  0.674337              1      3.81054                    0.561081                 42                  0.587507            0.0573738    bytetrack
    37  0.673992              0      3.96904                    0.0477858                38                  0.324896            0.484113     bytetrack
    38  0.672823              0      6.86479                    3.04545e-05              39                  0.296464            0.521044     bytetrack
    39  0.671194              1      9.9997                     0.402976                 49                  0.0271526           0.675848     bytetrack
    40  0.670084              1      9.99925                    0.000200491               1                  0.206867            0.271208     bytetrack
    41  0.669827              0      6.44315                    0.439025                 45                  6.63848e-06         0.510459     bytetrack
    42  0.668442              1      9.99983                    0.00165332               25                  0.198939            0.549002     bytetrack
    43  0.667947              0      5.90165                    0.424257                  1                  0.11264             0.323217     bytetrack
    44  0.667626              0      9.99928                    0.288129                 40                  3.72592e-05         0.630338     bytetrack
    45  0.667435              0      8.91244                    0.410525                 21                  0.182387            0.568773     bytetrack
    46  0.66554               0      4.85968                    0.360739                  1                  0.394735            0.000103641  bytetrack
    47  0.659417              0      5.62765                    0.500951                 28                  0.00330072          0.0192245    bytetrack
    48  0.65712               0      8.05723                    0.638335                  1                  0.115314            0.000120163  bytetrack
    49  0.653923              1      9.99769                    0.299059                  1                  0.0847178           0.444155     bytetrack
    50  0.652503              1      6.43517                    0.57618                   1                  0.00199333          0.00131513   bytetrack
    51  0.643791              0      9.99918                    7.11298e-06               1                  0.284413            0.49139      bytetrack
    52  0.62444               1      9.9991                     0.462591                 60                  6.11268e-07         0.000404894  bytetrack
    53  0.603017              1      8.22116                    0.755105                 31                  0.688862            0.346892     bytetrack
    54  0.59532               1      9.98663                    0.000410777               1                  5.5799e-05          0.739189     bytetrack
    55  0.580513              0      3.43058                    0.156092                 25                  0.0334395           0.78115      bytetrack
    56  0.575599              0      1.16367                    0.56163                   1                  0.000232098         0.000441035  bytetrack
    57  0.546784              1      7.63354                    0.274252                 55                  0.600522            0.640058     bytetrack
    58  0.515788              0      9.99646                    9.27928e-05              60                  0.000316623         0.00313493   bytetrack
    59  0.388445              0      6.58256                    0.702439                 53                  0.259421            0.717005     bytetrack
    60  0.387099              0      4.92833                    0.293354                 35                  0.761717            0.5536       bytetrack
    61  0.37136               0      1.97315                    0.569617                 10                  0.680274            0.670539     bytetrack
    62  0.349061              1      2.83082                    0.887938                 17                  0.359715            0.269179     bytetrack
    63  0.108938              1      6.20568                    0.107508                 13                  0.86134             0.495566     bytetrack
    64  0.0991554             1      8.27004                    0.677703                 49                  0.441122            0.814803     bytetrack
    65  0.0952932             1      0.190045                   0.224683                 57                  0.190671            0.386652     bytetrack
    66  0.0818283             0      0.00216916                 1.57087e-05               1                  0.410455            0.331116     bytetrack
    67  0                     0      1.07331                    0.989236                 49                  0.391952            0.882512     bytetrack
    68  0                     1      1.76386                    0.333621                  3                  0.979482            0.159178     bytetrack
    69  0                     0      5.05757                    0.872069                  6                  0.531646            0.991304     bytetrack
    70  0                     0      8.04014                    0.0232666                39                  0.893562            0.858741     bytetrack
    71  0                     1      9.9954                     0.654006                 24                  0.999758            0.000426509  bytetrack
    72  0                     0      6.56111                    0.997875                 35                  0.653731            0.336563     bytetrack
    73  0                     1      1.22323                    0.484196                 52                  0.296834            0.96327      bytetrack
    74  0                     0      9.98313                    0.00068161                1                  3.8007e-05          0.999293     bytetrack
