  Rank       HOTA    fuse_score    match_thresh    new_track_scaling_factor    track_buffer    track_high_scaling_factor    track_low_thresh  tracker_type
    42  0.568878              0       3.94197                   0.0141623                35                  1.03299e-05         0.117531     bytetrack
    43  0.565923              0       9.99523                   0.444785                 10                  0.224711            0.342906     bytetrack
    44  0.564433              0       3.54389                   0.0621675                 1                  0.000145772         0.349789     bytetrack
    45  0.563745              0       5.32158                   0.430927                  1                  0.000103128         0.269456     bytetrack
    46  0.562501              0       9.95137                   0.55457                  16                  8.28843e-05         0.613956     bytetrack
    47  0.558974              0       8.07384                   0.539726                 10                  8.02356e-05         0.0543327    bytetrack
    48  0.557674              0       4.24078                   0.610323                  1                  0.491061            0.000161092  bytetrack
    49  0.55189               0       2.76601                   0.627171                  4                  0.130584            0.23802      bytetrack
    50  0.542289              0       3.43058                   0.156092                 25                  0.0334395           0.78115      bytetrack
    51  0.537623              1       9.99741                   0.376954                 39                  0.000446738         0.000123997  bytetrack
    52  0.523511              1       8.22116                   0.755105                 31                  0.688862            0.346892     bytetrack
    53  0.513703              1       9.99987                   0.501872                 60                  0.706428            0.383657     bytetrack
    54  0.495747              1       6.80186                   0.849562                 11                  4.19689e-05         0.000300474  bytetrack
    55  0.494222              1       9.99917                   0.000479223              60                  0.000492056         0.000300171  bytetrack
    56  0.493066              0       3.93387                   0.548595                 35                  0.000184471         0.000197057  bytetrack
    57  0.468961              0       6.85397                   6.78294e-06              60                  0.000252744         0.00104986   bytetrack
    58  0.434301              1       7.63354                   0.274252                 55                  0.600522            0.640058     bytetrack
    59  0.343888              1       2.83082                   0.887938                 17                  0.359715            0.269179     bytetrack
    60  0.33281               0       6.58256                   0.702439                 53                  0.259421            0.717005     bytetrack
    61  0.307887              0       4.92833                   0.293354                 35                  0.761717            0.5536       bytetrack
    62  0.267517              0       1.97315                   0.569617                 10                  0.680274            0.670539     bytetrack
    63  0.142732              0       0.0183244                 0.000544644              20                  0.000404876         0.738246     bytetrack
    64  0.141923              0       6.7795                    0.307232                 13                  2.27683e-05         0.898494     bytetrack
    65  0.141759              1       0.190045                  0.224683                 57                  0.190671            0.386652     bytetrack
    66  0.0825796             1       6.20568                   0.107508                 13                  0.86134             0.495566     bytetrack
    67  0.0685592             1       8.27004                   0.677703                 49                  0.441122            0.814803     bytetrack
    68  0                     0       1.07331                   0.989236                 49                  0.391952            0.882512     bytetrack
    69  0                     1       1.76386                   0.333621                  3                  0.979482            0.159178     bytetrack
    70  0                     0       5.05757                   0.872069                  6                  0.531646            0.991304     bytetrack
    71  0                     0       8.04014                   0.0232666                39                  0.893562            0.858741     bytetrack
    72  0                     0       6.56111                   0.997875                 35                  0.653731            0.336563     bytetrack
    73  0                     1       1.22323                   0.484196                 52                  0.296834            0.96327      bytetrack
    74  0                     1       9.9998                    0.999687                 19                  0.311117            0.578909     bytetrack
