  Rank       HOTA    fuse_score    match_thresh    new_track_scaling_factor    track_buffer    track_high_scaling_factor    track_low_thresh  tracker_type
    44  0.620618              1      8.37798                    0.721458                 27                  0.0147754           0.000353868  bytetrack
    45  0.619394              0      1.49472                    0.385483                 15                  0.0611717           0.0486312    bytetrack
    46  0.618984              0      7.25297                    0.563621                  9                  0.191127            0.277273     bytetrack
    47  0.618225              0      8.11758                    0.244552                  5                  0.00030719          0.185441     bytetrack
    48  0.609931              1      9.99697                    0.570538                 60                  0.58733             0.52647      bytetrack
    49  0.603948              0      3.43058                    0.156092                 25                  0.0334395           0.78115      bytetrack
    50  0.59441               1      8.22116                    0.755105                 31                  0.688862            0.346892     bytetrack
    51  0.593982              1      5.54233                    0.609132                  1                  0.000271069         0.000210469  bytetrack
    52  0.577089              1      9.99955                    0.45079                  46                  0.210774            0.736728     bytetrack
    53  0.55442               1      9.99988                    0.840611                 49                  0.09121             0.262704     bytetrack
    54  0.529162              0      3.14823                    0.270143                 16                  0.000188296         0.00070261   bytetrack
    55  0.5124                1      7.63354                    0.274252                 55                  0.600522            0.640058     bytetrack
    56  0.403946              0      9.99872                    0.000416567              26                  0.000191123         0.000110499  bytetrack
    57  0.393551              0      6.58256                    0.702439                 53                  0.259421            0.717005     bytetrack
    58  0.388533              1      2.83082                    0.887938                 17                  0.359715            0.269179     bytetrack
    59  0.385517              0      4.92833                    0.293354                 35                  0.761717            0.5536       bytetrack
    60  0.344898              0      1.97315                    0.569617                 10                  0.680274            0.670539     bytetrack
    61  0.172899              1      6.20568                    0.107508                 13                  0.86134             0.495566     bytetrack
    62  0.148144              0      9.97615                    0.921557                 31                  0.10084             0.292546     bytetrack
    63  0.116621              0      0.00235391                 0.585888                 21                  0.000229366         0.000140548  bytetrack
    64  0.11647               1      0.190045                   0.224683                 57                  0.190671            0.386652     bytetrack
    65  0.112188              0      0.00945578                 0.0301497                 4                  0.000186829         0.701076     bytetrack
    66  0.0919381             1      8.27004                    0.677703                 49                  0.441122            0.814803     bytetrack
    67  0                     0      1.07331                    0.989236                 49                  0.391952            0.882512     bytetrack
    68  0                     1      1.76386                    0.333621                  3                  0.979482            0.159178     bytetrack
    69  0                     0      5.05757                    0.872069                  6                  0.531646            0.991304     bytetrack
    70  0                     0      8.04014                    0.0232666                39                  0.893562            0.858741     bytetrack
    71  0                     0      5.82163                    0.281692                 13                  3.18473e-05         0.999632     bytetrack
    72  0                     0      6.56111                    0.997875                 35                  0.653731            0.336563     bytetrack
    73  0                     1      1.22323                    0.484196                 52                  0.296834            0.96327      bytetrack
    74  0                     1      9.99579                    0.513666                  1                  0.999831            0.00014445   bytetrack
