  Rank       HOTA    appearance_thresh    fuse_score  gmc_method       match_thresh  model      new_track_scaling_factor    proximity_thresh    track_buffer    track_high_scaling_factor    track_low_thresh  tracker_type    with_reid
    48  0.766912                  0.25             1  sparseOptFlow      6.83729     auto                    0.719478                    0.5              39                  0.386415            0.0001587    botsort         False
    49  0.75896                   0.25             0  sparseOptFlow      5.07631     auto                    0.0360638                   0.5               1                  2.4473e-05          0.552367     botsort         False
    50  0.723469                  0.25             1  sparseOptFlow      6.25449     auto                    0.515103                    0.5              39                  0.000365112         0.000211975  botsort         False
    51  0.713377                  0.25             1  sparseOptFlow      8.22116     auto                    0.755105                    0.5              31                  0.688862            0.346892     botsort         False
    52  0.707695                  0.25             0  sparseOptFlow      6.65045     auto                    0.640247                    0.5              39                  0.79012             0.148517     botsort         False
    53  0.67391                   0.25             0  sparseOptFlow      3.43058     auto                    0.156092                    0.5              25                  0.0334395           0.78115      botsort         False
    54  0.673351                  0.25             0  sparseOptFlow      4.19915     auto                    0.534664                    0.5               1                  5.0799e-05          0.000502412  botsort         False
    55  0.647022                  0.25             1  sparseOptFlow      7.63354     auto                    0.274252                    0.5              55                  0.600522            0.640058     botsort         False
    56  0.494413                  0.25             0  sparseOptFlow      4.92833     auto                    0.293354                    0.5              35                  0.761717            0.5536       botsort         False
    57  0.484175                  0.25             0  sparseOptFlow      6.76222     auto                    0.000201612                 0.5              60                  6.687e-05           0.000447132  botsort         False
    58  0.47577                   0.25             0  sparseOptFlow      1.97315     auto                    0.569617                    0.5              10                  0.680274            0.670539     botsort         False
    59  0.456035                  0.25             0  sparseOptFlow      6.58256     auto                    0.702439                    0.5              53                  0.259421            0.717005     botsort         False
    60  0.407124                  0.25             1  sparseOptFlow      2.83082     auto                    0.887938                    0.5              17                  0.359715            0.269179     botsort         False
    61  0.152415                  0.25             1  sparseOptFlow      6.20568     auto                    0.107508                    0.5              13                  0.86134             0.495566     botsort         False
    62  0.113559                  0.25             1  sparseOptFlow      0.190045    auto                    0.224683                    0.5              57                  0.190671            0.386652     botsort         False
    63  0.112536                  0.25             1  sparseOptFlow      8.27004     auto                    0.677703                    0.5              49                  0.441122            0.814803     botsort         False
    64  0.0945684                 0.25             0  sparseOptFlow      0.00153152  auto                    0.612382                    0.5              54                  0.353276            0.000695452  botsort         False
    65  0.0509396                 0.25             0  sparseOptFlow      7.30757     auto                    0.332985                    0.5              45                  2.32462e-05         0.91216      botsort         False
    66  0.0436234                 0.25             0  sparseOptFlow      0.00620654  auto                    0.0002012                   0.5               1                  0.000230957         0.881442     botsort         False
    67  0                         0.25             0  sparseOptFlow      1.07331     auto                    0.989236                    0.5              49                  0.391952            0.882512     botsort         False
    68  0                         0.25             1  sparseOptFlow      1.76386     auto                    0.333621                    0.5               3                  0.979482            0.159178     botsort         False
    69  0                         0.25             0  sparseOptFlow      5.05757     auto                    0.872069                    0.5               6                  0.531646            0.991304     botsort         False
    70  0                         0.25             0  sparseOptFlow      8.04014     auto                    0.0232666                   0.5              39                  0.893562            0.858741     botsort         False
    71  0                         0.25             1  sparseOptFlow      9.9998      auto                    0.999905                    0.5              51                  0.172902            0.2741       botsort         False
    72  0                         0.25             0  sparseOptFlow      6.56111     auto                    0.997875                    0.5              35                  0.653731            0.336563     botsort         False
    73  0                         0.25             1  sparseOptFlow      1.22323     auto                    0.484196                    0.5              52                  0.296834            0.96327      botsort         False
    74  0                         0.25             1  sparseOptFlow      9.99923     auto                    0.644532                    0.5              22                  0.999685            0.245518     botsort         False
