  Rank       HOTA    fuse_score    match_thresh    new_track_scaling_factor    track_buffer    track_high_scaling_factor    track_low_thresh  tracker_type
    25  0.649459              0        9.99948                  0.50911                  38                  1.08305e-05         0.381843     bytetrack
    26  0.648629              0        9.99877                  0.441631                 52                  0.000123698         0.235143     bytetrack
    27  0.647771              0        9.99972                  0.408973                 60                  1.27016e-05         0.487482     bytetrack
    28  0.646245              0        4.78645                  0.587992                 39                  0.264994            0.000132245  bytetrack
    29  0.642906              1        9.99992                  0.326028                 60                  8.41132e-05         0.14538      bytetrack
    30  0.642814              0        9.99983                  0.562035                 60                  0.0598645           0.331935     bytetrack
    31  0.64141               0        4.65484                  0.523107                 27                  0.270367            0.191497     bytetrack
    32  0.639098              1        9.99952                  0.452398                 60                  4.35039e-05         0.505616     bytetrack
    33  0.637298              1        6.69208                  0.577047                 42                  0.46659             0.133143     bytetrack
    34  0.636826              0        9.9994                   0.000107108              60                  0.269531            0.513852     bytetrack
    35  0.636031              1        3.81054                  0.561081                 42                  0.587507            0.0573738    bytetrack
    36  0.63286               0        9.99799                  0.21125                  48                  0.396454            0.316827     bytetrack
    37  0.631223              0        7.95364                  0.599707                 15                  0.286167            0.111444     bytetrack
    38  0.630798              1        9.99859                  0.536451                 33                  0.471047            0.308532     bytetrack
    39  0.63039               1        9.82633                  0.67826                  28                  0.477201            0.0724247    bytetrack
    40  0.628073              0        9.99742                  0.165775                 40                  0.220414            0.493457     bytetrack
    41  0.626154              1        6.41412                  0.616677                 49                  0.572001            0.000134992  bytetrack
    42  0.626034              0        9.99977                  0.000155356              15                  0.235823            0.423572     bytetrack
    43  0.625711              0        2.76601                  0.627171                  4                  0.130584            0.23802      bytetrack
    44  0.619759              1        9.99884                  0.413315                  1                  0.160844            0.156287     bytetrack
    45  0.615812              0        3.96904                  0.0477858                38                  0.324896            0.484113     bytetrack
    46  0.613845              1        9.99253                  0.466495                  1                  0.433551            0.000472662  bytetrack
    47  0.612912              0        3.09001                  0.543327                  1                  0.286522            0.00017702   bytetrack
    48  0.61061               0        3.69896                  0.340679                  1                  0.29096             0.210015     bytetrack
    49  0.60921               1        6.60861                  0.636353                  1                  0.106881            0.193794     bytetrack
    50  0.604871              0        5.38376                  0.48886                   7                  8.46176e-05         0.108589     bytetrack
    51  0.604321              0        7.11761                  0.472466                  1                  0.0745532           0.338546     bytetrack
    52  0.593548              0        8.91244                  0.410525                 21                  0.182387            0.568773     bytetrack
    53  0.54235               0        4.78579                  0.000254542               1                  0.329882            0.567574     bytetrack
    54  0.517864              0        9.99852                  0.809786                  1                  3.11588e-06         0.000730523  bytetrack
    55  0.509926              1        8.22116                  0.755105                 31                  0.688862            0.346892     bytetrack
    56  0.486403              0        0.733411                 0.611979                 19                  0.000150037         0.000358718  bytetrack
    57  0.455578              0        3.43058                  0.156092                 25                  0.0334395           0.78115      bytetrack
    58  0.410756              1        7.63354                  0.274252                 55                  0.600522            0.640058     bytetrack
    59  0.400701              1        9.99768                  7.76861e-05               1                  4.17722e-05         0.000280337  bytetrack
    60  0.302752              1        2.83082                  0.887938                 17                  0.359715            0.269179     bytetrack
    61  0.296248              0        6.58256                  0.702439                 53                  0.259421            0.717005     bytetrack
    62  0.29478               0        4.92833                  0.293354                 35                  0.761717            0.5536       bytetrack
    63  0.274762              0        1.97315                  0.569617                 10                  0.680274            0.670539     bytetrack
    64  0.264415              0        7.49364                  0.37218                  60                  3.67445e-05         0.000147868  bytetrack
    65  0.0938458             1        6.20568                  0.107508                 13                  0.86134             0.495566     bytetrack
    66  0.0830677             1        0.190045                 0.224683                 57                  0.190671            0.386652     bytetrack
    67  0.0724786             1        8.27004                  0.677703                 49                  0.441122            0.814803     bytetrack
    68  0                     0        1.07331                  0.989236                 49                  0.391952            0.882512     bytetrack
    69  0                     1        1.76386                  0.333621                  3                  0.979482            0.159178     bytetrack
    70  0                     0        5.05757                  0.872069                  6                  0.531646            0.991304     bytetrack
    71  0                     0        8.04014                  0.0232666                39                  0.893562            0.858741     bytetrack
    72  0                     0        6.56111                  0.997875                 35                  0.653731            0.336563     bytetrack
    73  0                     1        1.22323                  0.484196                 52                  0.296834            0.96327      bytetrack
    74  0                     1        9.9971                   0.513246                 60                  0.999669            0.000184889  bytetrack
